Frequency (Hz),MTF_10HU,MTF_30HU,MTF_50HU
1.1066176470588236,0.0031304020684633956,0.007831957902905844,0.00991130730864564
1.107843137254902,0.0030968019734053083,0.007757942757657138,0.00981581531637665
1.1090686274509804,0.0030634437719397546,0.007684386333889784,0.009720833616774218
1.1102941176470589,0.0030303251345868533,0.007611285578716372,0.009626358403442165
1.1115196078431373,0.00299744375282706,0.007538637486351718,0.009532385912533243
1.1127450980392157,0.002964797339191453,0.007466439099004995,0.009438912423569158
1.1139705882352942,0.002932383627362578,0.007394687507814919,0.009345934260305437
1.1151960784313726,0.0029002003722879504,0.007323379853830137,0.009253447791643346
1.116421568627451,0.0028682453503067824,0.00725251332903648,0.009161449432591659
1.1176470588235294,0.0028365163592902315,0.0071820851774328865,0.009069935645280663
1.1188725490196079,0.0028050112187959515,0.007112092696159367,0.00897890294003131
1.1200980392156863,0.0027737277702381043,0.007042533236678274,0.008888347876482286
1.1213235294117647,0.0027426638770732406,0.006973404206011046,0.008798267064777852
1.1225490196078431,0.002711817425002977,0.006904703068034872,0.008708657166821284
1.1237745098039216,0.002681186322194703,0.0068364273448393706,0.008619514897595564
1.125,0.0026507684995205763,0.006768574618148054,0.00853083702655546
1.1262254901960784,0.0026205619108170797,0.006701142530806947,0.00844262037909628
1.1274509803921569,0.002590564533165129,0.006634128788342728,0.008354861838102051
1.1286764705882353,0.002560774367192472,0.006567531160594644,0.008267558345578272
1.1299019607843137,0.0025311894373990706,0.006501347483423432,0.00818070690437374
1.1311274509803921,0.0025018077925083333,0.0064355756604999115,0.00809430457999646
1.1323529411764706,0.002472627505843642,0.006370213665177812,0.008008348502530203
1.133578431372549,0.0024436466757326693,0.006305259542454582,0.007922835868655219
1.1348039215686274,0.002414863425942634,0.006240711411024332,0.007837763943780733
1.1360294117647058,0.002386275906144415,0.006176567465426193,0.007753130064295864
1.1372549019607843,0.002357882292412452,0.006112825978294225,0.007668931639945322
1.1384803921568627,0.0023296807877574545,0.006049485302712101,0.00758516615633632
