manufacturer,model,kernel,eta_peak,f_peak,f_50,f_10,f_2
Siemens,Alpha,Qr76f,1.398064634029093,0.44937441643323994,1.6362432842138104,1.8552442485213139,2.5902808318396406
Siemens,Alpha,Hr92u,1.2538572964275139,0.9656769374416432,2.9580265963023287,3.3258710358770838,3.5274476895406046
Siemens,Alpha,Qr48f,1.0,0.0,0.511915185885647,0.8881721337984769,1.084266613680237
Siemens,Alpha,Br40f_4,1.0,0.0,0.33700245214716146,0.6037723702221861,0.7460823909503669
Siemens,Alpha,Hc40u,1.0,0.0,0.30097955710220164,0.5844905503734823,0.7837041909452531
Siemens,Force,Hr59h,1.0997566139993276,0.39682419659735346,0.8076182753614917,1.0161530708049888,1.1086455320096797
Siemens,Alpha,Hr40u_3,1.0,0.0,0.3265943675779457,0.6153803718744361,0.8156968155720079
Siemens,Alpha,Br76u,1.138604782258552,0.6979645191409898,1.447174501464527,1.9632338378079044,2.191122527288076
Siemens,Alpha,Br40u_4,1.0,0.0,0.3416684619990811,0.6093887474776708,0.7585058534722063
Siemens,Alpha,Hr40f_1,1.0,0.0,0.3255259104591999,0.6095551015798287,0.811308363980476
Canon,Aquilion Prime,FC81,1.2498795524665107,0.5079255553638855,0.9288968552151092,1.188411045835521,1.3868455712218688
Siemens,Force,Qr40d,1.0,0.0,0.38191156993298925,0.6486308363413552,0.7900953564082499
Siemens,Alpha,Br40f_1,1.0,0.0,0.3372674963041037,0.6031264080423538,0.7474136311149737
Siemens,Force,Ur73u,1.0,0.0,1.1412614027076686,1.7420569358911466,2.125974615145512
Siemens,Alpha,Br76u,1.2679614281631353,0.6788422035480859,1.4931503511031088,1.9666408699864375,2.2013825374882017
Siemens,Alpha,Br36u,1.0,0.0,0.29971176441449243,0.5227165613921717,0.6486719414228522
Siemens,Alpha,Qr80u,1.0,0.0,1.4808898121888647,2.2430600600978576,2.6203168024534946
Siemens,Force,Hr40s_5,1.0,0.0,0.3666160311053995,0.6850007010583937,0.8973372298472961
Siemens,Alpha,Hc40f,1.0,0.0,0.3235420665011287,0.610639968142174,0.8183254035275239
Siemens,Alpha,Qr84u,1.0557517122040634,0.5075218658892128,1.7324310490570416,2.481222270192721,2.91074027949217
Siemens,Alpha,Hr76f,1.1035440142837822,0.7553314659197012,1.5026203646008902,1.9964184127621842,2.174572545136727
Siemens,Alpha,Br68f,1.4391033337501329,0.5483933787731257,1.1533463917001479,1.4257342231144061,1.5359372946713648
Siemens,Force,Ur73u,1.0868340935416403,0.49737142857142846,1.4236112097699631,1.7606706537094263,1.9834729051619502
Siemens,Alpha,Qr48f,1.0,0.0,0.4995675098380628,0.8791395380693586,1.0760580084169704
Canon,Aquilion Prime,FC17,1.0,0.0,0.3464888709564523,0.567467228288772,0.7326927569867551
Siemens,Alpha,Hr40u_4,1.0,0.0,0.3219568941059933,0.6092157903737693,0.8149355952788016
Siemens,Force,Br40d,1.0,0.0,0.3513962560944992,0.6098767488003289,0.7635699145320891
Siemens,Alpha,Br40u,1.0,0.0,0.34718113826251895,0.6086128823366358,0.761627426256114
Siemens,Alpha,Qr84u,1.0401570571980518,0.48761904761904756,1.7467772653461833,2.5181354835441336,2.948593689618997
Siemens,Alpha,Qr56f_3,1.0,0.0,0.6745572507832748,1.087423478945031,1.2375855999131498
Siemens,Alpha,Br40f,1.0,0.0,0.3480815080015138,0.6111988864964716,0.7629470688357428
Siemens,Alpha,Br40u_1,1.0,0.0,0.3449673716872633,0.6089014811094998,0.7603140380285791
Siemens,Alpha,Hr60u,1.264888880394669,0.4229779058597502,0.8508563170494039,1.0823137955978666,1.2056593221975154
Siemens,Force,Qr54d_3,1.0,0.0,0.6712314180213499,1.137999034232404,1.3463344326426618
Siemens,Alpha,Bv40u,1.0,0.0,0.3707499204745406,0.6361083298308673,0.7844772590380896
Siemens,Alpha,Br76f,2.0114719668445367,0.5449859943977591,1.7441400005333072,2.2177421378816016,4.170593592327186
Siemens,Force,Bf40d,1.0,0.0,0.3836821429428403,0.7112115033751755,0.8027619044889749
Siemens,Force,Hr49s,1.0004514228270773,0.08912959381044487,0.535647919254899,0.7311750293167919,0.8326173124546965
Siemens,Alpha,Br72f,1.4669870011627797,0.6203168685927306,1.3624617232467697,1.6225644559761665,1.9769603907732594
Siemens,Alpha,Br56f,1.088659606328419,0.29806572769953055,0.7033721854988304,0.9168127609380597,1.019950907137258
Siemens,Alpha,Qr40u,1.0,0.0,0.3771099530749537,0.6477630063891675,0.7876164610516022
Siemens,Alpha,Br40u,1.0,0.0,0.35587043366694254,0.6138368096255606,0.7664888769831614
Siemens,Alpha,Hr60f,1.2369332744362986,0.4229779058597502,0.838039173087805,1.0732520635212515,1.2055903966447385
Siemens,Alpha,Hc40u,1.0,0.0,0.3343755277572511,0.6141716052263193,0.8251796179690969
Siemens,Alpha,Hr92u,1.0,0.0,1.3117152363035731,3.025918727251309,3.357233904183127
Siemens,Force,Ur77u_5,1.0,0.0,1.444270063260655,2.165772756792028,2.399969221763712
Siemens,Alpha,Br40f_1,1.0,0.0,0.3481234577808562,0.6113958289629684,0.7642214903900673
Siemens,Alpha,Qr76f,1.0,0.0,1.4077583078849458,1.81952735646015,1.9791813319691367
Siemens,Alpha,Qr76u,1.0006756770216358,0.2089795918367347,1.401530315118964,1.994072677571085,2.320840240802974
Siemens,Force,Hf40s,1.0,0.0,0.32405099764585615,0.6486836176629052,0.8335669023806177
Siemens,Alpha,Br84u,1.2823151262639607,0.8805410628019323,2.1915618124354257,2.769886561293136,2.994010529494318
Siemens,Alpha,Hr98u,1.0,0.0,1.2876376885739973,3.8033637896118764,4.362930178254782
Siemens,Alpha,Br48u,1.0,0.0,0.507813443263105,0.7077697601025718,0.804305910341599
Siemens,Alpha,Qr89u,1.0361350949391668,0.5045797101449275,1.772528128523279,2.769335616229881,3.222844076897539
Siemens,Alpha,Qr56f_3,1.0,0.0,0.6676848149655842,1.0948483155938384,1.2518888839177778
Siemens,Force,Qr49d,1.0,0.0,0.552039202722191,0.9308318944990288,1.127075958835296
Siemens,Alpha,Br44f,1.0,0.0,0.3974561736268633,0.7024781942200621,0.8689458682641773
Siemens,Alpha,Br98u_3,1.0,0.0,1.2552643227752807,3.448223677838336,4.1832283523684435
Siemens,Alpha,Bv40u,1.0,0.0,0.3776506477889864,0.648778598974951,0.7922478115947978
Siemens,Alpha,Qr80u,1.0345208191249515,0.48761904761904756,1.5960209334150077,2.30307688560369,2.6902864933489754
Siemens,Alpha,Hr76u,1.0953587535074831,0.7553314659197012,1.5186800715518538,2.025867482113673,2.2345152716317838
Siemens,Alpha,Br44u,1.0,0.0,0.40907793878930987,0.7120715961628783,0.8762628454039898
Siemens,Alpha,Hr98u,1.007639932167298,0.7098955365622033,3.5996141164191555,4.271724535849034,6.054968756718653
Siemens,Alpha,Br68f,1.406626227014647,0.5517442922374429,1.1520601225781373,1.4251879874634517,1.5436619164818197
Siemens,Alpha,Hr40f,1.0,0.0,0.32286899564027566,0.6094046588196084,0.8157677517339342
Siemens,Alpha,Br40f,1.0,0.0,0.3380874056756782,0.6008037881206474,0.742132359285754
Siemens,Alpha,Br48f,1.0052855047310336,0.13900452488687784,0.5151209461521948,0.7138840436224194,0.8124331123761205
Siemens,Alpha,Hr92u,1.0152417829636267,0.9596908212560387,2.731517560028271,3.274578327509563,3.4650913811450357
Canon,Aquilion Prime,FC18,1.0,0.0,0.3791239601030835,0.6110285098765963,0.709565434871806
Siemens,Alpha,Hr40f_1,1.0,0.0,0.3148059224597422,0.6058121330910899,0.8084475694484667
Siemens,Alpha,Br72f,1.4798905591182308,0.5803650336215177,1.3444988004059633,1.5903446580118026,1.862243657780193
Siemens,Alpha,Qr76f,1.0,0.0,1.4649444740445008,1.8415174932897187,2.0073050524413993
Siemens,Alpha,Br98u,1.0,0.0,2.042053632184076,3.1838758434657985,4.079951499017229
Siemens,Alpha,Qr48u,1.0,0.0,0.5142075619433761,0.8790977358324975,1.0730462601850181
Siemens,Alpha,Br40f,1.0,0.0,0.3502928220531096,0.6113996150420251,0.7655823330878558
Siemens,Alpha,Qr48u,1.0,0.0,0.4921241391836518,0.8475819223674937,1.0435852742333014
Siemens,Force,Br49d,1.0,0.0,0.5002305107142193,0.7507347286129189,0.8865542044906713
Siemens,Alpha,Qr80u,1.0157923537328322,0.4056425120772947,1.5635450883190165,2.2646900734669266,2.6509721802193136
Siemens,Alpha,Qr84u,1.0023839304094244,0.26713043478260873,1.6572912799577015,2.4395987155285206,2.88867263656743
Siemens,Alpha,Hr44u,1.0,0.0,0.3906616292675148,0.6959273193729018,0.8736817326160594
Siemens,Alpha,Hr76f,1.2126043903811985,0.7065500485908649,1.5559352514108151,1.98925294491048,2.2188745530067617
Siemens,Alpha,Br76f,1.513025959020836,0.7170868347338935,1.6379643465795408,2.048938555622185,2.2344111085586116
Siemens,Force,Hr69h,1.2296720005022848,0.6287719298245614,1.19217030681468,1.5148967432056064,1.7130994504662669
Siemens,Alpha,Qr56f_3,1.0,0.0,0.6406471189055372,1.0897067213442075,1.2568165943177898
Siemens,Alpha,Hr48u,1.0047408159842084,0.1247610121836926,0.49402389553789816,0.752155889649408,0.9156902124919662
Siemens,Alpha,Br48f,1.0005809894780127,0.08541241890639481,0.5140010947746071,0.712452682709165,0.8123807967545802
Siemens,Alpha,Br98u,1.0011374944639078,0.16819323671497585,2.0594935872779327,3.42629745101905,6.252437122571152
Siemens,Alpha,Br40u_4,1.0,0.0,0.3449736322026509,0.6038485234359446,0.736957796652789
Siemens,Force,Hr40s,1.0,0.0,0.3622038050803321,0.6835124283070905,0.8969133701674393
Siemens,Alpha,Qr56u_3,1.0,0.0,0.646573191129076,1.0790615025480295,1.2424463305937505
Siemens,Force,Ur77u,1.2070172267605412,1.0356143667296784,1.65459728562857,2.2448704785969635,2.622974539025908
Siemens,Alpha,Br76u,1.385135905093138,0.7463556851311952,1.6436543821936545,2.085152860446246,2.272359096424214
Siemens,Alpha,Br72u,1.4947150572711485,0.6035169082125604,1.31971948123339,1.566628623978542,1.673064990036257
Siemens,Alpha,Bv40u,1.0,0.0,0.3795824434186926,0.6394243387881074,0.7774758662718543
Siemens,Alpha,Qr84u,1.050438542460735,0.440956937799043,1.7371094862641059,2.4634399881443474,2.9646011370254093
Canon,Aquilion Prime,FC18,1.0,0.0,0.4467491432501939,0.6612634689985271,0.7268390486368825
Siemens,Alpha,Hr44f,1.0,0.0,0.3745825132622035,0.6868605550589463,0.8696084095352731
